date,demand
4/26/2018,32180.1865
4/27/2018,30661.4816
4/28/2018,32724.5641
4/29/2018,32603.5092
4/30/2018,32768.7243
5/1/2018,32575.3867
5/2/2018,31456.1094
5/3/2018,32472.1953
5/4/2018,31045.9311
5/5/2018,33636.1743
5/6/2018,34320.768
5/7/2018,35161.0004
5/8/2018,35686.3676
5/9/2018,34423.6699
5/10/2018,32177.8985
5/11/2018,29414.6729
5/12/2018,31610.6929
5/13/2018,32671.8269
5/14/2018,33261.8534
5/15/2018,33381.415
5/16/2018,33498.774
5/17/2018,32808.5879
5/18/2018,31650.1852
5/19/2018,34186.3976
5/20/2018,35456.9095
5/21/2018,36434.0276
5/22/2018,36386.1576
5/23/2018,36285.7705
5/24/2018,35759.1238
5/25/2018,34434.4979
5/26/2018,37350.9783
5/27/2018,37900.245
5/28/2018,38131.7728
5/29/2018,39037.5565
5/30/2018,39184.4376
5/31/2018,39073.7461
6/1/2018,37775.7595
6/2/2018,40037.173
6/3/2018,39690.6366
6/4/2018,38616.8052
6/5/2018,38928.9955
6/6/2018,38526.1772
6/7/2018,41790.0707
6/8/2018,40945.6681
6/9/2018,43343.4043
6/10/2018,43251.6207
6/11/2018,43089.2007
6/12/2018,42897.6224
6/13/2018,42638.9602
6/14/2018,42339.5886
6/15/2018,39107.861
6/16/2018,39749.8095
6/17/2018,43437.6796
6/18/2018,44300.8261
6/19/2018,44132.6776
6/20/2018,44096.4299
6/21/2018,43561.3502
6/22/2018,40803.5013
6/23/2018,43984.872
6/24/2018,44734.5581
6/25/2018,45275.9305
6/26/2018,44881.9707
6/27/2018,45096.9261
6/28/2018,44993.2281
6/29/2018,42742.7133
6/30/2018,45769.0814
7/1/2018,46071.8065
7/2/2018,46144.3897
7/3/2018,46327.5168
7/4/2018,46409.5175
7/5/2018,45479.0523
7/6/2018,43372.7474
7/7/2018,46370.209
7/8/2018,46144.0598
7/9/2018,44738.4149
7/10/2018,46428.4003
7/11/2018,46201.5456
7/12/2018,45505.535
7/13/2018,44359.6084
7/14/2018,45610.4448
7/15/2018,45506.6859
7/16/2018,45931.0826
7/17/2018,45544.5824
7/18/2018,45461.2555
7/19/2018,45743.2408
7/20/2018,43942.5309
7/21/2018,45837.7877
7/22/2018,45196.2484
7/23/2018,45161.4099
7/24/2018,45304.8559
7/25/2018,46079.4088
7/26/2018,45736.7378
7/27/2018,44638.8568
7/28/2018,46311.3888
7/29/2018,46600.0346
7/30/2018,46673.3107
7/31/2018,46633.2663
8/1/2018,46374.0665
8/2/2018,46116.5264
8/3/2018,43644.8468
8/4/2018,45912.6469
8/5/2018,46302.9261
8/6/2018,46753.006
8/7/2018,46405.9006
8/8/2018,46755.5224
8/9/2018,46052.9829
8/10/2018,43268.0402
8/11/2018,45309.592
8/12/2018,45383.4127
8/13/2018,45007.6229
8/14/2018,43995.5776
8/15/2018,43636.4173
8/16/2018,42957.767
8/17/2018,41335.6488
8/18/2018,44487.6536
8/19/2018,44094.4053
8/20/2018,42916.9381
8/21/2018,42598.4683
8/22/2018,40152.6415
8/23/2018,41278.2545
8/24/2018,39279.6602
8/25/2018,42383.1771
8/26/2018,42939.9037
8/27/2018,43470.0739
8/28/2018,43417.5766
8/29/2018,43242.8253
8/30/2018,40843.5246
8/31/2018,39787.0087
9/1/2018,42574.4538
9/2/2018,42254.9934
9/3/2018,41189.4671
9/4/2018,41271.4262
9/5/2018,41201.5084
9/6/2018,40324.1842
9/7/2018,38195.8035
9/8/2018,41024.3859
9/9/2018,41778.2925
9/10/2018,42020.6317
9/11/2018,42073.5916
9/12/2018,42358.5834
9/13/2018,41431.093
9/14/2018,39079.9565
9/15/2018,41349.0041
9/16/2018,41520.0763
9/17/2018,41246.1491
9/18/2018,40670.3903
9/19/2018,35842.9246
9/20/2018,33160.9688
9/21/2018,37200.6104
9/22/2018,39254.4526
9/23/2018,39768.5026
9/24/2018,38662.5778
9/25/2018,37648.3042
9/26/2018,37571.8727
9/27/2018,36809.2453
9/28/2018,34308.1269
9/29/2018,36035.1477
9/30/2018,36019.1095
10/1/2018,36065.3616
10/2/2018,35944.489
10/3/2018,36306.6285
10/4/2018,35586.6533
10/5/2018,33247.5368
10/6/2018,34319.5179
10/7/2018,33961.915
10/8/2018,34336.2944
10/9/2018,34148.0384
10/10/2018,34258.6401
10/11/2018,33610.6966
10/12/2018,32055.6944
10/13/2018,34023.8582
10/14/2018,33687.1048
10/15/2018,32422.394
10/16/2018,32275.4875
10/17/2018,32158.9311
10/18/2018,31512.739
10/19/2018,29614.0992
10/20/2018,31618.6414
10/21/2018,31353.7045
10/22/2018,30704.7329
10/23/2018,31161.95
10/24/2018,31156.4847
10/25/2018,30783.1646
10/26/2018,28351.9317
10/27/2018,29203.631
10/28/2018,28997.0676
10/29/2018,28233.452
10/30/2018,26129.0053
10/31/2018,28030.3022
11/1/2018,27911.7648
11/2/2018,26483.1216
11/3/2018,28427.5055
11/4/2018,28229.2425
11/5/2018,28622.5291
11/6/2018,28215.6955
11/7/2018,26052.8348
11/8/2018,26075.9946
11/9/2018,25561.8619
11/10/2018,28047.0265
11/11/2018,28419.9959
11/12/2018,28557.1185
11/13/2018,28585.3003
11/14/2018,28437.8088
11/15/2018,27812.6314
11/16/2018,26178.1371
11/17/2018,28045.9997
11/18/2018,28475.0365
11/19/2018,28541.837
11/20/2018,28585.3539
11/21/2018,28116.1186
11/22/2018,27285.7711
11/23/2018,26000.1223
11/24/2018,27484.1806
11/25/2018,26295.2903
11/26/2018,27388.4867
11/27/2018,27555.9309
11/28/2018,27936.6738
11/29/2018,27168.7233
11/30/2018,25712.6507
12/1/2018,28137.8273
12/2/2018,28409.9731
12/3/2018,28490.4482
12/4/2018,28470.2453
12/5/2018,28585.0551
12/6/2018,28017.6258
12/7/2018,26149.5112
12/8/2018,27977.2305
12/9/2018,28311.5554
12/10/2018,28430.9517
12/11/2018,28322.4958
12/12/2018,28464.6064
12/13/2018,27647.4768
12/14/2018,26284.0544
12/15/2018,28296.3059
12/16/2018,28488.3981
12/17/2018,28797.6419
12/18/2018,29173.3241
12/19/2018,28874.6853
12/20/2018,28099.08
12/21/2018,25992.5524
12/22/2018,28573.7631
12/23/2018,28860.0271
12/24/2018,28847.0801
12/25/2018,28902.2456
12/26/2018,28919.7538
12/27/2018,28393.7337
12/28/2018,26540.953
12/29/2018,28555.7084
12/30/2018,29114.6607
12/31/2018,29048.4602
1/1/2019,28848.4848
1/2/2019,29213.4481
1/3/2019,28729.2288
1/4/2019,26457.9297
1/5/2019,28405.3012
1/6/2019,28903.8377
1/7/2019,28943.454
1/8/2019,29031.7579
1/9/2019,29198.1172
1/10/2019,28472.57
1/11/2019,26800.1303
1/12/2019,29150.3557
1/13/2019,29675.0473
1/14/2019,29332.7067
1/15/2019,29037.2496
1/16/2019,28306.3725
1/17/2019,27761.9366
1/18/2019,26200.3534
1/19/2019,28796.3331
1/20/2019,29194.9222
1/21/2019,29359.3106
1/22/2019,28985.2224
1/23/2019,29051.6819
1/24/2019,27973.5191
1/25/2019,26412.1948
1/26/2019,28374.103
1/27/2019,28773.4631
1/28/2019,28599.5334
1/29/2019,28486.6969
1/30/2019,28290.5301
1/31/2019,27411.7257
2/1/2019,25718.4972
2/2/2019,27928.207
2/3/2019,28377.7799
2/4/2019,28232.1573
2/5/2019,28586.2527
2/6/2019,28405.6864
2/7/2019,28309.9244
2/8/2019,26356.8626
2/9/2019,26581.4176
2/10/2019,27993.3641
2/11/2019,27065.4844
2/12/2019,27957.5185
2/13/2019,28474.7453
2/14/2019,28073.278
2/15/2019,26436.4837
2/16/2019,28477.3562
2/17/2019,28773.7529
2/18/2019,28613.6315
2/19/2019,29130.1575
2/20/2019,29130.5266
2/21/2019,28555.8628
2/22/2019,27011.3397
2/23/2019,28575.684
2/24/2019,29048.8075
2/25/2019,29101.2268
2/26/2019,29205.3439
2/27/2019,29378.0123
2/28/2019,28528.7154
3/1/2019,26643.5146
3/2/2019,28575.6867
3/3/2019,29058.5074
3/4/2019,29350.8715
3/5/2019,29359.1135
3/6/2019,29300.1284
3/7/2019,29117.1079
3/8/2019,27714.6392
3/9/2019,29647.4764
3/10/2019,29769.8853
3/11/2019,29759.5035
3/12/2019,29805.3814
3/13/2019,29465.9148
3/14/2019,28625.574
3/15/2019,27762.3911
3/16/2019,28775.9575
3/17/2019,28568.0858
3/18/2019,27274.1027
3/19/2019,26213.2253
3/20/2019,25008.3941
3/21/2019,22781.7492
3/22/2019,21491.5645
3/23/2019,22617.4764
3/24/2019,22987.4473
3/25/2019,23891.1636
3/26/2019,23916.5542
3/27/2019,24311.9914
3/28/2019,24222.329
3/29/2019,24208.3268
3/30/2019,24733.1882
3/31/2019,24913.209
4/1/2019,24092.6191
4/2/2019,22311.8846
4/3/2019,23955.1363
4/4/2019,25078.847
4/5/2019,25228.6554
